               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.025115,            0.021991,           0.0071842,             0.81461,             0.72342,             0.78207,             0.55284,            0.030359,            0.018452,           0.0093102,           0.0082019,           0.0082019,           0.0082019
                  61,            0.024943,            0.021789,           0.0069521,             0.80758,             0.72513,             0.78209,              0.5526,            0.030204,            0.018594,           0.0091255,            0.008145,            0.008145,            0.008145
                  62,             0.02469,            0.021156,           0.0065679,             0.81042,             0.72507,             0.78104,             0.55352,            0.030187,             0.01867,           0.0093484,           0.0080875,           0.0080875,           0.0080875
                  63,            0.024848,            0.021588,           0.0071596,             0.79865,             0.73854,             0.78408,             0.55679,            0.030235,            0.018666,           0.0092067,           0.0080294,           0.0080294,           0.0080294
                  64,            0.024954,            0.021562,           0.0066852,             0.81537,             0.73109,              0.7857,             0.55905,            0.030259,            0.018767,           0.0092934,           0.0079706,           0.0079706,           0.0079706
                  65,            0.024563,            0.021212,            0.006786,             0.79868,             0.73957,             0.78508,             0.56026,            0.030185,            0.018721,           0.0090392,           0.0079112,           0.0079112,           0.0079112
                  66,            0.024678,            0.021396,           0.0065618,             0.79167,             0.73941,              0.7836,             0.55779,            0.030205,            0.018843,           0.0090118,           0.0078512,           0.0078512,           0.0078512
                  67,            0.024484,            0.021181,           0.0067712,             0.80727,             0.73482,              0.7853,             0.55945,            0.030227,            0.018843,           0.0087624,           0.0077907,           0.0077907,           0.0077907
                  68,            0.024669,            0.021717,           0.0071077,             0.80651,             0.72941,              0.7853,             0.56005,            0.030263,            0.018763,           0.0090104,           0.0077296,           0.0077296,           0.0077296
                  69,            0.024158,            0.021059,           0.0064818,             0.80684,             0.72915,             0.78396,             0.56057,            0.030315,             0.01884,           0.0089366,           0.0076679,           0.0076679,           0.0076679
                  70,            0.023997,            0.020979,           0.0065507,             0.81934,             0.72057,             0.78495,             0.56056,            0.030197,            0.018818,           0.0087408,           0.0076057,           0.0076057,           0.0076057
                  71,            0.024362,            0.021121,           0.0068532,             0.81057,             0.72955,             0.78502,             0.56282,            0.030115,            0.018843,           0.0087321,            0.007543,            0.007543,            0.007543
                  72,            0.023944,            0.020849,           0.0065397,             0.80069,             0.73991,             0.78426,             0.56158,            0.030211,             0.01888,           0.0088163,           0.0074797,           0.0074797,           0.0074797
                  73,            0.023891,            0.020891,           0.0065507,              0.8279,             0.72318,              0.7862,             0.56404,            0.030143,            0.018952,           0.0088871,            0.007416,            0.007416,            0.007416
                  74,            0.024087,             0.02097,            0.006936,             0.80949,              0.7307,              0.7856,             0.56318,            0.030063,            0.018883,           0.0088013,           0.0073518,           0.0073518,           0.0073518
                  75,            0.023805,            0.020729,           0.0062321,             0.80925,             0.73705,             0.78704,             0.56421,             0.03011,            0.019028,           0.0089111,           0.0072872,           0.0072872,           0.0072872
                  76,            0.023544,            0.020403,           0.0061372,             0.80272,             0.74368,             0.78609,             0.56487,             0.03009,              0.0191,           0.0088338,           0.0072221,           0.0072221,           0.0072221
